"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1949-01","Nova Scotia","2016A000212","Housing completions","Total units","Unadjusted","Units","300","units","0","v732322","5.3.1.1","771","","","","0"
"1949-01","New Brunswick","2016A000213","Housing starts","Total units","Unadjusted","Units","300","units","0","v730421","6.1.1.1","49","","","","0"
"1949-01","New Brunswick","2016A000213","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731386","6.2.1.1","838","","","","0"
"1949-01","New Brunswick","2016A000213","Housing completions","Total units","Unadjusted","Units","300","units","0","v732323","6.3.1.1","279","","","","0"
"1949-01","Quebec","2016A000224","Housing starts","Total units","Unadjusted","Units","300","units","0","v730422","7.1.1.1","2545","","","","0"
"1949-01","Quebec","2016A000224","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731387","7.2.1.1","11784","","","","0"
"1949-01","Quebec","2016A000224","Housing completions","Total units","Unadjusted","Units","300","units","0","v732324","7.3.1.1","4604","","","","0"
"1949-01","Ontario","2016A000235","Housing starts","Total units","Unadjusted","Units","300","units","0","v730423","8.1.1.1","3284","","","","0"
"1949-01","Ontario","2016A000235","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731388","8.2.1.1","17888","","","","0"
"1949-01","Ontario","2016A000235","Housing completions","Total units","Unadjusted","Units","300","units","0","v732325","8.3.1.1","6396","","","","0"
"1949-01","Manitoba","2016A000246","Housing starts","Total units","Unadjusted","Units","300","units","0","v730424","10.1.1.1","83","","","","0"
"1949-01","Manitoba","2016A000246","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731389","10.2.1.1","1857","","","","0"
"1949-01","Manitoba","2016A000246","Housing completions","Total units","Unadjusted","Units","300","units","0","v732326","10.3.1.1","838","","","","0"
"1949-01","Saskatchewan","2016A000247","Housing starts","Total units","Unadjusted","Units","300","units","0","v730425","11.1.1.1","20","","","","0"
"1949-01","Saskatchewan","2016A000247","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731390","11.2.1.1","1491","","","","0"
"1949-01","Saskatchewan","2016A000247","Housing completions","Total units","Unadjusted","Units","300","units","0","v732327","11.3.1.1","381","","","","0"
"1949-01","Alberta","2016A000248","Housing starts","Total units","Unadjusted","Units","300","units","0","v730426","12.1.1.1","687","","","","0"
"1949-01","Alberta","2016A000248","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731391","12.2.1.1","4269","","","","0"
"1949-01","Alberta","2016A000248","Housing completions","Total units","Unadjusted","Units","300","units","0","v732328","12.3.1.1","1678","","","","0"
"1949-01","British Columbia","2016A000259","Housing starts","Total units","Unadjusted","Units","300","units","0","v730418","13.1.1.1","1569","","","","0"
"1949-01","British Columbia","2016A000259","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731383","13.2.1.1","6529","","","","0"
"1949-01","British Columbia","2016A000259","Housing completions","Total units","Unadjusted","Units","300","units","0","v732320","13.3.1.1","2769","","","","0"
"1949-04","Canada","2016A000011124","Housing starts","Total units","Unadjusted","Units","300","units","0","v730416","1.1.1.1","31912","","","","0"
"1949-04","Canada","2016A000011124","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731381","1.2.1.1","56787","","","","0"
"1949-04","Canada","2016A000011124","Housing completions","Total units","Unadjusted","Units","300","units","0","v732318","1.3.1.1","22018","","","","0"
"1949-04","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","109","","","","0"
"1949-04","Newfoundland and Labrador","2016A000210","Housing completions","Total units","Unadjusted","Units","300","units","0","v732319","3.3.1.1","118","","","","0"
"1949-04","Prince Edward Island","2016A000211","Housing starts","Total units","Unadjusted","Units","300","units","0","v730419","4.1.1.1","66","","","","0"
"1949-04","Prince Edward Island","2016A000211","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731384","4.2.1.1","158","","","","0"
"1949-04","Prince Edward Island","2016A000211","Housing completions","Total units","Unadjusted","Units","300","units","0","v732321","4.3.1.1","2","","","","0"
"1949-04","Nova Scotia","2016A000212","Housing starts","Total units","Unadjusted","Units","300","units","0","v730420","5.1.1.1","928","","","","0"
"1949-04","Nova Scotia","2016A000212","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731385","5.2.1.1","2186","","","","0"
"1949-04","Nova Scotia","2016A000212","Housing completions","Total units","Unadjusted","Units","300","units","0","v732322","5.3.1.1","877","","","","0"
"1949-04","New Brunswick","2016A000213","Housing starts","Total units","Unadjusted","Units","300","units","0","v730421","6.1.1.1","740","","","","0"
"1949-04","New Brunswick","2016A000213","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731386","6.2.1.1","1304","","","","0"
"1949-04","New Brunswick","2016A000213","Housing completions","Total units","Unadjusted","Units","300","units","0","v732323","6.3.1.1","274","","","","0"
"1949-04","Quebec","2016A000224","Housing starts","Total units","Unadjusted","Units","300","units","0","v730422","7.1.1.1","8983","","","","0"
"1949-04","Quebec","2016A000224","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731387","7.2.1.1","14610","","","","0"
"1949-04","Quebec","2016A000224","Housing completions","Total units","Unadjusted","Units","300","units","0","v732324","7.3.1.1","6152","","","","0"
"1949-04","Ontario","2016A000235","Housing starts","Total units","Unadjusted","Units","300","units","0","v730423","8.1.1.1","11504","","","","0"
"1949-04","Ontario","2016A000235","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731388","8.2.1.1","21740","","","","0"
"1949-04","Ontario","2016A000235","Housing completions","Total units","Unadjusted","Units","300","units","0","v732325","8.3.1.1","7663","","","","0"
"1949-04","Manitoba","2016A000246","Housing starts","Total units","Unadjusted","Units","300","units","0","v730424","10.1.1.1","2013","","","","0"
"1949-04","Manitoba","2016A000246","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731389","10.2.1.1","2511","","","","0"
"1949-04","Manitoba","2016A000246","Housing completions","Total units","Unadjusted","Units","300","units","0","v732326","10.3.1.1","1356","","","","0"
"1949-04","Saskatchewan","2016A000247","Housing starts","Total units","Unadjusted","Units","300","units","0","v730425","11.1.1.1","1317","","","","0"
"1949-04","Saskatchewan","2016A000247","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731390","11.2.1.1","2049","","","","0"
"1949-04","Saskatchewan","2016A000247","Housing completions","Total units","Unadjusted","Units","300","units","0","v732327","11.3.1.1","759","","","","0"
"1949-04","Alberta","2016A000248","Housing starts","Total units","Unadjusted","Units","300","units","0","v730426","12.1.1.1","3390","","","","0"
"1949-04","Alberta","2016A000248","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731391","12.2.1.1","4975","","","","0"
"1949-04","Alberta","2016A000248","Housing completions","Total units","Unadjusted","Units","300","units","0","v732328","12.3.1.1","2681","","","","0"
"1949-04","British Columbia","2016A000259","Housing starts","Total units","Unadjusted","Units","300","units","0","v730418","13.1.1.1","2862","","","","0"
"1949-04","British Columbia","2016A000259","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731383","13.2.1.1","7254","","","","0"
"1949-04","British Columbia","2016A000259","Housing completions","Total units","Unadjusted","Units","300","units","0","v732320","13.3.1.1","2136","","","","0"
"1949-07","Canada","2016A000011124","Housing starts","Total units","Unadjusted","Units","300","units","0","v730416","1.1.1.1","28212","","","","0"
"1949-07","Canada","2016A000011124","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731381","1.2.1.1","61115","","","","0"
"1949-07","Canada","2016A000011124","Housing completions","Total units","Unadjusted","Units","300","units","0","v732318","1.3.1.1","23496","","","","0"
"1949-07","Newfoundland and Labrador","2016A000210","Housing starts","Total units","Unadjusted","Units","300","units","0","v730417","3.1.1.1","549","","","","0"
"1949-07","Newfoundland and Labrador","2016A000210","Housing completions","Total units","Unadjusted","Units","300","units","0","v732319","3.3.1.1","224","","","","0"
"1949-07","Prince Edward Island","2016A000211","Housing starts","Total units","Unadjusted","Units","300","units","0","v730419","4.1.1.1","249","","","","0"
"1949-07","Prince Edward Island","2016A000211","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731384","4.2.1.1","310","","","","0"
"1949-07","Prince Edward Island","2016A000211","Housing completions","Total units","Unadjusted","Units","300","units","0","v732321","4.3.1.1","97","","","","0"
"1949-07","Nova Scotia","2016A000212","Housing starts","Total units","Unadjusted","Units","300","units","0","v730420","5.1.1.1","823","","","","0"
"1949-07","Nova Scotia","2016A000212","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731385","5.2.1.1","2426","","","","0"
"1949-07","Nova Scotia","2016A000212","Housing completions","Total units","Unadjusted","Units","300","units","0","v732322","5.3.1.1","582","","","","0"
"1949-07","New Brunswick","2016A000213","Housing starts","Total units","Unadjusted","Units","300","units","0","v730421","6.1.1.1","917","","","","0"
"1949-07","New Brunswick","2016A000213","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731386","6.2.1.1","1522","","","","0"
"1949-07","New Brunswick","2016A000213","Housing completions","Total units","Unadjusted","Units","300","units","0","v732323","6.3.1.1","699","","","","0"
"1949-07","Quebec","2016A000224","Housing starts","Total units","Unadjusted","Units","300","units","0","v730422","7.1.1.1","6773","","","","0"
"1949-07","Quebec","2016A000224","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731387","7.2.1.1","15523","","","","0"
"1949-07","Quebec","2016A000224","Housing completions","Total units","Unadjusted","Units","300","units","0","v732324","7.3.1.1","5780","","","","0"
"1949-07","Ontario","2016A000235","Housing starts","Total units","Unadjusted","Units","300","units","0","v730423","8.1.1.1","10446","","","","0"
"1949-07","Ontario","2016A000235","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731388","8.2.1.1","23670","","","","0"
"1949-07","Ontario","2016A000235","Housing completions","Total units","Unadjusted","Units","300","units","0","v732325","8.3.1.1","8537","","","","0"
